Lexical_Feature,Criterion,Spearman_Coefficient,p_value
flesch_kincaid_score,Présentation du Sujet,-0.05319396728323761,0.6185256751024342
flesch_kincaid_score,Structure,-0.08435560380064902,0.42924084821966957
flesch_kincaid_score,Niveau de Langue,-0.020575332101560276,0.847361084203624
flesch_kincaid_score,Voix Passive,-0.11894186079435551,0.26417497024930164
flesch_kincaid_score,Concision,-0.011981585584340189,0.9107580627715025
flesch_kincaid_score,Redondance,-0.09691946186340135,0.36348320363959696
flesch_kincaid_score,Langage Négatif,-0.08099426669998407,0.44792055160715794
flesch_kincaid_score,Métaphore,-0.02642202058477402,0.8047529943898587
flesch_kincaid_score,Discours,-0.08710678170804835,0.414288851306329
flesch_kincaid_score,L'introduction,-0.10713737142131986,0.3148567964154303
flesch_kincaid_score,La conclusion,-0.0704732878917198,0.5092255148873643
flesch_kincaid_score,Persuasivité,-0.10436664463782634,0.32760697524997595
flesch_kincaid_score,Clarté du Langage,-0.061871446917677965,0.5623768625815865
flesch_kincaid_score,Créativité du discours,0.08736127914061145,0.41292119324606946
flesch_kincaid_score,Global,-0.13476429807209295,0.20536954035946267
gunning_fog_index,Présentation du Sujet,0.04246753961360287,0.6910502811848057
gunning_fog_index,Structure,0.10938348407592312,0.30475930788836125
gunning_fog_index,Niveau de Langue,0.04926589117511466,0.6447094697909801
gunning_fog_index,Voix Passive,0.04594505092056332,0.6671902634065685
gunning_fog_index,Concision,0.02973208274632565,0.7808726592084946
gunning_fog_index,Redondance,0.03433469725205698,0.748006461676807
gunning_fog_index,Langage Négatif,0.07184237215761298,0.5010110750239543
gunning_fog_index,Métaphore,0.038854866353038614,0.7161609226684169
gunning_fog_index,Discours,0.050881421696129824,0.6338857515629888
gunning_fog_index,L'introduction,0.08980568500374447,0.39991952370935036
gunning_fog_index,La conclusion,0.07943429302209334,0.45674151403316354
gunning_fog_index,Persuasivité,0.12321581934686761,0.2472710903567156
gunning_fog_index,Clarté du Langage,0.07320359869566458,0.4929127300535283
gunning_fog_index,Créativité du discours,-0.1155972405773062,0.2779375072787461
gunning_fog_index,Global,0.13775411839969162,0.1954013239098806
average_syllables,Présentation du Sujet,0.05671686264532352,0.5954396963449584
average_syllables,Structure,0.03990337379176167,0.7088405009530946
average_syllables,Niveau de Langue,-0.008941112902772266,0.9333436100902012
average_syllables,Voix Passive,0.16961023470675246,0.11000418658961292
average_syllables,Concision,-0.003993861861446729,0.9701982759968086
average_syllables,Redondance,0.1369041725873158,0.1981989213782318
average_syllables,Langage Négatif,0.07641831942879854,0.47406440834297314
average_syllables,Métaphore,0.013606762536083557,0.8987136089547088
average_syllables,Discours,0.09257492888541993,0.38548629058108697
average_syllables,L'introduction,0.10901177412744598,0.30641559104593713
average_syllables,La conclusion,0.03685631481421818,0.7301850766467655
average_syllables,Persuasivité,0.06943562557868893,0.5154973052655474
average_syllables,Clarté du Langage,0.02832162198609633,0.7910249638331388
average_syllables,Créativité du discours,-0.08490863457686762,0.42621075243809214
average_syllables,Global,0.11984814211264053,0.2605267180667447
polysyllabic_word_count,Présentation du Sujet,0.11530562562401811,0.2791597809253447
polysyllabic_word_count,Structure,0.1755408869586303,0.09793955755255912
polysyllabic_word_count,Niveau de Langue,0.04100342486808009,0.7011885327310667
polysyllabic_word_count,Voix Passive,0.22894657670081295,0.02996637665069411
polysyllabic_word_count,Concision,0.022195887763490883,0.8355016232532588
polysyllabic_word_count,Redondance,0.15434283377189692,0.14636927596640287
polysyllabic_word_count,Langage Négatif,0.01556366642779433,0.8842412868314201
polysyllabic_word_count,Métaphore,0.08735841281433045,0.4129365821049198
polysyllabic_word_count,Discours,0.12365193683061045,0.24558905262084463
polysyllabic_word_count,L'introduction,0.14536502258558706,0.17160960559646682
polysyllabic_word_count,La conclusion,0.2094993875978805,0.047506762517379404
polysyllabic_word_count,Persuasivité,0.16795652964957036,0.11356612695081895
polysyllabic_word_count,Clarté du Langage,0.11341374584885917,0.2871765781191999
polysyllabic_word_count,Créativité du discours,0.016035083042820558,0.8807603990406693
polysyllabic_word_count,Global,0.2435496639053199,0.020713540689866236
